Team Info,,Function Info,,,,Consumer Touchpoints,,,,,,,,,,
WMTO Team,WMTO Sub-team,Function,Content Lifecycle Area,Variable Data Point,Applications Supported,Content Production,Linear Networks,Sports,News,New WM DTC,Brand Extensions,Gaming,3rd Party Platforms,Consumer Products,Themed Entertainment,Enterprise Tech
Advertising Technology,AMS Project Management,Linear Network Traffic-Playlisting ,Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Ad Invoicing ,Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Research &Revenue Data Platforms and Analytics ,Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Quality Assurance Team ,Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,AMS Project Management,Client Support Team ,Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,Media Ad Technology,DirecTV advertising:Responsible for the DTV Ad Tech Stack across linear and digital. ,Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,Media Ad Technology,"Areas of responsibility include Sales/ CRM, Audience Assembly, Campaign Planning/Reach, Reporting, Measurement and Billing ",Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,Media Ad Technology,CoreIntegration and AdRouting Services ,Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,Media Ad Technology,"Architecture; SoftwareEngineering, Project Management, Prod Support ",Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,Digital Ads Platform,Technical product management to manage digital ad vendors ,Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,Digital Ads Platform,Technicaloperationstosupport brand monetization ,Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,Digital Ads Platform,"Support Digital Sales Platforms Salesforce, Operative, Google Ad Manager, FreeWheel ",Pre Production,,,,x,x,x,x,x,x,,,,
Advertising Technology,Digital Ads Platform,"Direct and Programmatic solutions across O&O, MVPD, DTC ",Pre Production,,,,,,,x,,,,,,
Advertising Technology,Digital Ads Engineering,Engineering and operations of in-house digital ads platform ,Pre Production,,,,,,,x,,,,,,
Advertising Technology,Digital Ads Engineering,"Audience management,addelivery,ad insertion and programmatic solutions, measurement and attribution ",Pre Production,,,,,,,x,,,,,,
Advertising Technology,Platform & Product Strategy,Ad product development for digital advertising platform ,Pre Production,,,,,,,x,,,,,,
Advertising Technology,Platform & Product Strategy,Digital Display & Video Ad Serving ,Pre Production,,,,,,,x,,,,,,
Advertising Technology,Platform & Product Strategy,Programmatic ,Pre Production,,,,,,,x,,,,,,
Advertising Technology,Platform & Product Strategy,Podcasts ,Pre Production,,,,,,,,,,,x,x,
Advertising Technology,Platform & Product Strategy,Audience Data Management and Activation ,Pre Production,,,,,,,,,,,x,x,
Advertising Technology,Platform & Product Strategy,Advertising Measurement ,Pre Production,,,,,,,,,,,x,x,
Advertising Technology,Revenue Analytics,BI and Data science support for digital ad sales and ad product management ,Pre Production,,,,,,,,,,,x,x,
Advertising Technology,Revenue Analytics,Development of the digital ads analytics platform (DAAP) ,Pre Production,,,,,,,,,,,x,x,
Advertising Technology,Revenue Analytics,Development of forecasting capabilities ,Pre Production,,,,,,,,,,,x,x,
Advertising Technology,Revenue Analytics,"Data Warehouse,Business Intelligence (self-serve reporting) and Predictive Analytics ",Pre Production,,,,,,,,,,,x,x,
Technology Strategy & Business Operations,Office of Strategic Management,Strategic Planning,Pre Production,,,,,,,,,,,x,x,
Technology Strategy & Business Operations,Office of Strategic Management,Organizational Alignment,Pre Production,,,,,,,,,,,x,x,
Technology Strategy & Business Operations,Office of Strategic Management,Management of KPIs & Initiatives ,Pre Production,,,,x,x,x,,,,,,,
Technology Strategy & Business Operations,Office of Strategic Management,Strategic Reviews,Pre Production,,,,,,,,,,x,,,
Technology Strategy & Business Operations,Office of Strategic Management,Enterprise and Executive Briefs,Pre Production,,,,x,x,x,x,,x,x,,,
Technology Strategy & Business Operations,Office of Strategic Management,Lead CTO Ad Hoc Plans ,Pre Production,,,x,,,,x,,,x,,,
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Global Technology Sourcing and Strategic Partnerships ,Pre Production,,,x,,,,x,,,x,,,
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Deal Strategy & Contract Negotiation ,Pre Production,,,,,,,x,,,,,,
Technology Strategy & Business Operations,Global Sourcing & Business Operations,M&A Planning & Synergy Negotiations ,Pre Production,,,,,,,x,,,,,,
Technology Strategy & Business Operations,Global Sourcing & Business Operations,AT&T Contract Disentanglement ,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Product Technology Evaluation ,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Enterprise Vendor Spend & Forecast Financial Modeling & Analysis,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,TechnicalRequirementsGathering ,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Quoting/Buying ,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Support Renewals ,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Telecom Management ,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,HW & SW Asset Management ,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,VendorManagement&ConsumptionMonitoring,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Sourcing Synergies & Savings Analysis & Reporting ,Pre Production,,,x,,,,,,,,,x,
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Supplier Relationship & Performance Management,Pre Production,,,x,,,,,,,,,x,
Technology Strategy & Business Operations,Global Sourcing & Business Operations, Market & Industry Research,Pre Production,,,x,x,,,,,,,,,
Technology Strategy & Business Operations,Global Sourcing & Business Operations,SLA Monitoring,Pre Production,,,,,,,,,,,x,x,
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Sourcing Operations,Pre Production,,,x,,,,,,,,,x,
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Digital Ecosystem Trends,Pre Production,,,x,,,,,,,,,x,
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Preferred Partner & Vendor Tiering Programs,Pre Production,,,,,,,,,,,,,x
Technology Strategy & Business Operations,Global Sourcing & Business Operations,Deal memos and executive briefs ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy","Anaytics, Decisions & Data Sciences, ML/AI",DataScience/ML/AI,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy","Anaytics, Decisions & Data Sciences, ML/AI",Identity Model Ecosystem,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy","Anaytics, Decisions & Data Sciences, ML/AI",Audience Model Ecosystem ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy","Anaytics, Decisions & Data Sciences, ML/AI",Content Metadata Services ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy","Anaytics, Decisions & Data Sciences, ML/AI",Resolved Entity Store,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy","Anaytics, Decisions & Data Sciences, ML/AI",Audience Prediction ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Enterprise Data Soultions Prod & Prog,Identity Data Architecture,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Enterprise Data Soultions Prod & Prog,Identity Data Ingest & Egress ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Enterprise Data Soultions Prod & Prog,Audience Pipeline,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Enterprise Data Soultions Prod & Prog,Content Spine data flow,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Enterprise Data Soultions Prod & Prog,Content Spine architecture,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Enterprise Data Soultions Prod & Prog,Audience Activation,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Enterprise Data Soultions Prod & Prog,Audience Segmentation ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Global Operations,Data Products & Innovation Strategy ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Global Operations,Consumer Identity & First Party Data ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Global Operations,Enablement ,Pre Production,,,x,,,,,,,,,,
"Data Science, Platform and Strategy",Global Operations,Unified Consumer Consent Management ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Global Operations,Data Privacy Compliance Monitoring ,Pre Production,,,,,,,,,,,,,x
"Data Science, Platform and Strategy",Enterpirse Data solutions Engineering,TBA,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Monetization & Portfolio Management,Domestic & Intl Theatrical ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Monetization & Portfolio Management,WarnerHomeEnt,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Monetization & Portfolio Management,ConsumerProducts,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Monetization & Portfolio Management,DC Entertainment ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Monetization & Portfolio Management,Global Brands & Franchise ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Monetization & Portfolio Management,Games,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Monetization & Portfolio Management,Foundational Tech,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Monetization & Portfolio Management,Digital Innovation COE ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Monetization & Portfolio Management,Salesforce COE ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,WW Television Distribution/ IP & Content Licensing ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Affiliate Subscription Sales ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Global Supply Chain ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,The SDS JV ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,The CW JV ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Digital Networks Group,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Digital MediaAd Sales ,Distribution and Promotion,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,"Global Research, Insights & Analytics ",Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Compliance Readiness,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Compliance by Design,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Digital Records Management,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Tech Governance,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Accessibility COE,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Risk Mgmt,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Patching & VR ops,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Tech GRC; Account Admin; Platform Assurance,Account Administration Ops,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Studio Operations, CRE, Physical Security",Studio Operations,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Studio Operations, CRE, Physical Security",Studio Facilities,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Studio Operations, CRE, Physical Security",Post-Production Creative Services ,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Studio Operations, CRE, Physical Security",Tours & Retail,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Studio Operations, CRE, Physical Security",Physical Security,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Studio Operations, CRE, Physical Security",Corporate Real Estate,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Studio Operations, CRE, Physical Security",M&A ,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Workplace Tech, Engineering, & Datacenter","AATooling, Productivity Tools",Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Workplace Tech, Engineering, & Datacenter",Engineering & Architecture,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Workplace Tech, Engineering, & Datacenter",Desktop Engineering,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Workplace Tech, Engineering, & Datacenter",Creative App Design ,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Workplace Tech, Engineering, & Datacenter",Data Center Operations,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Workplace Tech, Engineering, & Datacenter",Infrastructure Engineering,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology","Workplace Tech, Engineering, & Datacenter",Collaboration & ProductivityTools ,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Global Workplace Services & Support,ServiceDesk,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Global Workplace Services & Support,Desktop & Laptop Support,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Global Workplace Services & Support,Mobile Device & Desk Phone Support,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Global Workplace Services & Support,Executive White-Glove Service,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Global Workplace Services & Support,Tech Bar Services,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Global Workplace Services & Support,AV & Conference Room Support,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Global Workplace Services & Support,Desktop & Laptop refresh,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Global Workplace Services & Support,Hardware and Software Deployment ,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Enterprise Technology,Enterprise Finance & Planning,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Enterprise Technology,Talent & Deal Management Systems ,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Enterprise Technology,Accounting & Financial Shared Services,Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Enterprise Technology,"Corporate Sourcing and Procurement, Corporate Travel Services ",Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Enterprise Technology,"HR Shared Services (Workforce & TalentMgmt., Learning, Benefits, etc.), Payroll ",Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Enterprise Technology,"People Architecture Systems, Contingent Labor Management, Application Access Compliance ",Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Enterprise Technology,"International, Legal, Corporate Systems, Cross-Org Access ",Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Enterprise Technology,"Platform, Architecture, Automation, DBA, Analytics, Integration Services ",Pre Production,,,,,,,,,,,,,x
"Monetization, Enterprise & Workplace Technology",Enterprise Technology,WMETStrategy/Transformation&Portfolio Management/Operations & Compliance ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Threat Dectection & Response,Risk Management ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Threat Dectection & Response,Vulnerability and Risk Detection ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Threat Dectection & Response,Risk Assessments ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Threat Dectection & Response,Security Testing/Penetration Testing ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Threat Dectection & Response,Cyber Defense Operations ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Threat Dectection & Response,Threat Detection & Response ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Threat Dectection & Response,Manage Risk Remediation Commitments ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Threat Dectection & Response,Patching and Vulnerability Remediation Operations ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Identity and Access Management,Enterprise Authentication Platform Management ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Identity and Access Management,Active Directory Management ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Identity and Access Management,Enterprise Identity Management ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Identity and Access Management,Federated Authentication ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Identity and Access Management,Operation Platform Architecture & Operations ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,CSO Client Engagment,Program/Project Management Support ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,CSO Client Engagment,Project Risk and Issue tracking ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,CSO Client Engagment,Project Lessons Learned tracking ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,CSO Client Engagment,Business and Technology Liaison and dedicated support through the Business Information Security Officer (BISO) program ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,CSO Client Engagment,Security training awareness ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Technology Compliance; Account Administration: eDiscovery,"Regulatory Compliance Oversight (SOX, PCI, etc.) ",Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Technology Compliance; Account Administration: eDiscovery,Compliance Readiness ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Technology Compliance; Account Administration: eDiscovery,Internal Audit Management ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Technology Compliance; Account Administration: eDiscovery,Compliance by Design ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Technology Compliance; Account Administration: eDiscovery,Issue Tracking & Remediation ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Technology Compliance; Account Administration: eDiscovery,WM Records & Info Management COE ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Technology Compliance; Account Administration: eDiscovery,WM Accessibility COE ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Technology Compliance; Account Administration: eDiscovery,WM Account Administration Ops ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Technology Compliance; Account Administration: eDiscovery,WM eDiscovery ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,"Insights, Policy and Finance",SecurityPolicy,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,"Insights, Policy and Finance",SecurityStandards&TechnicalBaselines ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,"Insights, Policy and Finance",Security Governance,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,"Insights, Policy and Finance",Metrics & KPI automation,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,"Insights, Policy and Finance",Key Risk Indicators,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,"Insights, Policy and Finance",Key Performance Indicators,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,"Insights, Policy and Finance",Financial Management ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Platorm Engineering,Security Platform Architecture,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Platorm Engineering,Solutions Engineering,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Platorm Engineering,Security tools integrations,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Platorm Engineering,Administration and operations of platforms ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Platorm Engineering,Data collection and data logging ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Platorm Engineering,Platform tuning ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Architecture & Product Security,Application Security Architecture ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Architecture & Product Security,Development security and development of application security solutions to fit development ecosystems,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Architecture & Product Security,Network Security Architecture & Engineering/ configuration oversight for network devices ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Architecture & Product Security,Remote access solution design and engineering ,Pre Production,,,,,,,,,,,,,x
Cyber Security Office,Security Architecture & Product Security,"Cloud (AWS,Azure,GCP) Security Architecture & Engineering ",Pre Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Content Architecture and Engineering,Mastering software development,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Content Architecture and Engineering,Vendor integration services including Warner Studios DETE system for automated content file delivery,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Content Architecture and Engineering,ATOM: Master and metadata management system,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Content Architecture and Engineering,Media engineering,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Content Architecture and Engineering,"Cloud operations for supply chain functions including media, master data, ordering",Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Content Architecture and Engineering,Archive/preservation software development,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Content Architecture and Engineering,Content localization,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Content Architecture and Engineering,On-prem & cloud-based application architecture,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Content Architecture and Engineering,Tier 2/Tier 3 application support,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Technology Solutions,Content supply chain roadmap planning,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Technology Solutions,Tool and vendor analysis across supply chain tools,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Technology Solutions,"Product management, project & business analysis across supply chain components",Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Technology Solutions,"Portfolio, program, and project management",Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Technology Solutions,Internal/external communications of content strategic planning,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Technology Solutions,Client relationship management,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Technology Solutions,MSC Project Intake,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Global Operations,"24/7 international linear, VOD, OTT, consumer operations and technology",Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Global Operations,"Design, build, operate studios for scripted, non-scripted, news, sports and live",Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Global Operations,Content admin & sales operations,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Global Operations,Content ops and origination,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Global Operations,"LatAm, EMEA & APAC operations",Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Global Operations,"Client relations, BPI/change & content distribution",Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Global Operations,Content security tech & ops,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Global Operations,Operations portfolio delivery group,Production,,,,,,,,,,,,,x
Ad Products and Content Technology,Media Software Engineering,Media supply chain application development,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Media Software Engineering,Content acquisition software development,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Media Software Engineering,“Pick | Pack | Ship” software development,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Media Software Engineering,Quality control & business assurance,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Media Software Engineering,Metadata content workflow architecture & implementation,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Media Software Engineering,On-prem & cloud-based application architecture,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Media Software Engineering,Tier 2/Tier 3 application support,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Ad Product and Revenue Strategy,Content supply chain roadmap planning,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Ad Product and Revenue Strategy,Tool and vendor analysis across supply chain tools,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Ad Product and Revenue Strategy,"Product management, project & business analysis across supply chain components",Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Ad Product and Revenue Strategy,"Portfolio, program, and project management",Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Ad Product and Revenue Strategy,Internal/external communications of content strategic planning,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Ad Product and Revenue Strategy,Client relationship management,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Ad Product and Revenue Strategy,MSC Project Intake,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Audience Product and Business Development,Ad product management and development - audience solutions - across TV and digital/mobile,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Audience Product and Business Development,Business development in support of advanced advertising,Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Audience Product and Business Development,"Portfolio, program, and project management",Production,,,,,,,,,,,x,,x
Ad Products and Content Technology,Audience Product and Business Development,"Liaison between AT&T, DirecTV and WarnerMedia (WMAS + WMTO)",Production,,,,,,,,,,,x,,x
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
